BRAND,LIFESTAGE,PREMIUM_CUSTOMER,TOTAL_SALES,TOTAL_UNITS,UNIQUE_CUSTOMERS,TRANSACTIONS,BRAND_TOTAL_SALES,SEG_SHARE_OF_BRAND,AVG_SPEND_PER_CUSTOMER
Burger,YOUNG FAMILIES,Mainstream,395.59999999999997,172,83,86,6830.999999999999,0.057912457912457915,4.766265060240963
Burger,YOUNG FAMILIES,Premium,370.29999999999995,161,81,83,6830.999999999999,0.054208754208754206,4.571604938271604
Burger,YOUNG SINGLES/COUPLES,Budget,241.49999999999997,105,58,59,6830.999999999999,0.03535353535353535,4.163793103448276
Burger,YOUNG SINGLES/COUPLES,Mainstream,243.79999999999998,106,60,62,6830.999999999999,0.035690235690235696,4.0633333333333335
Burger,YOUNG SINGLES/COUPLES,Premium,234.6,102,55,57,6830.999999999999,0.03434343434343435,4.265454545454546
Ccs,MIDAGE SINGLES/COUPLES,Budget,430.5,205,103,112,18078.9,0.02381228946451388,4.179611650485437
Ccs,MIDAGE SINGLES/COUPLES,Mainstream,642.6,306,147,159,18078.9,0.035544197932396326,4.371428571428572
Ccs,MIDAGE SINGLES/COUPLES,Premium,644.7,307,155,162,18078.9,0.035660355441979326,4.159354838709678
Ccs,NEW FAMILIES,Budget,163.8,78,42,44,18078.9,0.009060285747473574,3.9000000000000004
Ccs,NEW FAMILIES,Mainstream,100.80000000000001,48,24,26,18078.9,0.005575560459983738,4.2
Ccs,NEW FAMILIES,Premium,88.2,42,23,23,18078.9,0.004878615402485771,3.8347826086956522
Ccs,OLDER FAMILIES,Budget,1852.2,882,408,451,18078.9,0.10245092345220118,4.5397058823529415
Ccs,OLDER FAMILIES,Mainstream,1106.7,527,254,273,18078.9,0.06121500755023812,4.3570866141732285
Ccs,OLDER FAMILIES,Premium,871.5,415,203,217,18078.9,0.04820536647694273,4.293103448275862
Ccs,OLDER SINGLES/COUPLES,Budget,1020.6,486,243,256,18078.9,0.056452549657335344,4.2
Ccs,OLDER SINGLES/COUPLES,Mainstream,1341.9,639,318,336,18078.9,0.0742246486235335,4.219811320754717
Ccs,OLDER SINGLES/COUPLES,Premium,1022.7,487,242,259,18078.9,0.056568707166918336,4.2260330578512395
Ccs,RETIREES,Budget,779.1,371,189,200,18078.9,0.04309443605529097,4.122222222222223
Ccs,RETIREES,Mainstream,1400.7,667,333,355,18078.9,0.07747705889185735,4.206306306306306
Ccs,RETIREES,Premium,753.9,359,176,185,18078.9,0.041700545940295035,4.283522727272727
Ccs,YOUNG FAMILIES,Budget,1612.8,768,366,397,18078.9,0.0892089673597398,4.406557377049181
Ccs,YOUNG FAMILIES,Mainstream,1064.7,507,234,260,18078.9,0.05889185735857823,4.55
